2023-07-13 20:46:36.549201 IP 10.10.1.3.4242 > 10.10.1.2.4242: UDP, length 84
2023-07-13 20:46:36.550624 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 304
2023-07-13 20:46:36.550656 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 288
2023-07-13 20:46:36.550942 IP 10.10.1.3.4242 > 10.10.1.2.4242: UDP, length 84
2023-07-13 20:46:36.551412 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 136
2023-07-13 20:46:36.552383 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 352
2023-07-13 20:46:36.552618 IP 10.10.1.3.4242 > 10.10.1.2.4242: UDP, length 84
2023-07-13 20:46:36.555616 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 592
2023-07-13 20:46:36.556351 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 184
2023-07-13 20:46:36.556574 IP 10.10.1.3.4242 > 10.10.1.2.4242: UDP, length 84
2023-07-13 20:46:36.556988 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 144
2023-07-13 20:46:36.557448 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 208
2023-07-13 20:46:36.557626 IP 10.10.1.3.4242 > 10.10.1.2.4242: UDP, length 84
2023-07-13 20:46:36.558721 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 216
2023-07-13 20:46:36.559016 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 448
2023-07-13 20:46:36.559043 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 184
2023-07-13 20:46:36.559269 IP 10.10.1.3.4242 > 10.10.1.2.4242: UDP, length 84
2023-07-13 20:46:36.559299 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 144
2023-07-13 20:46:36.559795 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 136
2023-07-13 20:46:36.560003 IP 10.10.1.3.4242 > 10.10.1.2.4242: UDP, length 84
2023-07-13 20:46:36.560802 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 184
2023-07-13 20:46:36.562092 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 208
2023-07-13 20:46:36.562300 IP 10.10.1.3.4242 > 10.10.1.2.4242: UDP, length 84
2023-07-13 20:46:36.562369 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 200
2023-07-13 20:46:36.563327 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 144
